Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
0,0,64,140,0,0
1,1.416666667,65,140,1.411764706,0
2,1.888888889,66,140,2.823529412,0
3,2.172222222,67,140,4.235294118,0
4,2.374603175,68,140,5.647058824,0
5,2.532010582,69,140,7.058823529,0
6,2.660798461,70,140,8.470588235,0
7,2.76977282,71,140,9.882352941,0
8,2.864217264,72,140,11.29411765,0
9,2.947550598,73,140,12.70588235,0
10,3.022112001,74,140,14.11764706,0
11,3.089572319,75,140,15.52941176,0
12,3.151166521,76,140,16.94117647,0
13,3.207833188,77,140,18.35294118,0
14,3.260302324,78,140,19.76470588,0
15,3.309152899,79,140,21.17647059,0
16,3.354851823,80,140,22.58823529,0
17,3.397781116,81,140,24,0
18,3.438257307,82,140,25.41176471,0
19,3.476545595,83,140,26.82352941,0
20,3.512870381,84,140,28.23529412,0
21,3.547423227,85,140,29.64705882,0
22,3.580368963,86,140,31.05882353,0
23,3.611850445,87,140,32.47058824,0
24,3.641992289,88,140,33.88235294,0
25,3.670903853,89,140,35.29411765,0
26,3.698681631,90,140,36.70588235,0
27,3.725411191,91,140,38.11764706,0
28,3.751168767,92,140,39.52941176,0
29,3.776022568,93,140,40.94117647,0
30,3.800033867,94,140,42.35294118,0
31,3.823257911,95,140,43.76470588,0
32,3.845744683,96,140,45.17647059,0
33,3.867539555,97,140,46.58823529,0
34,3.888683834,98,140,48,0
35,3.909215235,99,140,49.41176471,0
36,3.929168286,100,140,50.82352941,0
37,3.948574679,101,140,52.23529412,0
38,3.967463568,102,140,53.64705882,0
39,3.985861836,103,140,55.05882353,0
40,4.003794326,104,140,56.47058824,0
41,4.021284038,105,140,57.88235294,0
42,4.038352311,106,140,59.29411765,0
43,4.055018978,107,140,60.70588235,0
44,4.071302503,108,140,62.11764706,0
45,4.087220106,109,140,63.52941176,0
46,4.102787871,110,140,64.94117647,0
47,4.118020846,111,140,66.35294118,0
48,4.132933127,112,140,67.76470588,0
49,4.147537938,113,140,69.17647059,0
50,4.161847702,114,140,70.58823529,0
51,4.175874105,115,140,72,0
52,4.18962815,116,140,73.41176471,0
53,4.203120213,117,140,74.82352941,0
54,4.216360089,118,140,76.23529412,0
55,4.229357031,119,140,77.64705882,0
56,4.242119793,120,140,79.05882353,0
57,4.254656667,121,140,80.47058824,0
58,4.266975507,122,140,81.88235294,0
59,4.279083769,123,140,83.29411765,0
60,4.290988531,124,140,84.70588235,0
61,4.30269652,125,140,86.11764706,0
62,4.314214135,126,140,87.52941176,-0.617746065
62.90666975,4.324489726,126.9066171,139.9902247,88.94117647,-1.853238194
63.8133395,4.334603496,127.8128126,139.9609035,90.35294118,-3.088730324
64.72000925,4.344560464,128.7181652,139.91205,91.76470588,-4.324222453
