Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,480,94,24,0,480,94,24,0
1,0.040767386,480,93,25.05882353,359.7058824,480,60,60,350
2,0.079847846,480,92,26.11764706,359.4117647,480,26,96,300
3,0.11737544,480,91,27.17647059,359.1176471,410,26,120,180
4,0.153468858,480,90,28.23529412,358.8235294,315,26,120,180
5,0.188233684,480,89,29.29411765,358.5294118,300,26,0,180
6,0.221764256,480,88,30.35294118,358.2352941,,,,
7,0.254145208,480,87,31.41176471,357.9411765,,,,
8,0.285452759,480,86,32.47058824,357.6470588,,,,
9,0.315755789,480,85,33.52941176,357.3529412,,,,
10,0.345116757,480,84,34.58823529,357.0588235,,,,
11,0.373592469,480,83,35.64705882,356.7647059,,,,
12,0.401234745,480,82,36.70588235,356.4705882,,,,
13,0.428090985,480,81,37.76470588,356.1764706,,,,
14,0.454204656,480,80,38.82352941,355.8823529,,,,
15,0.479615718,480,79,39.88235294,355.5882353,,,,
16,0.504360987,480,78,40.94117647,355.2941176,,,,
17,0.528474462,480,77,42,355,,,,
18,0.551987602,480,76,43.05882353,354.7058824,,,,
19,0.574929572,480,75,44.11764706,354.4117647,,,,
20,0.597327464,480,74,45.17647059,354.1176471,,,,
21,0.619206486,480,73,46.23529412,353.8235294,,,,
22,0.640590134,480,72,47.29411765,353.5294118,,,,
23,0.661500343,480,71,48.35294118,353.2352941,,,,
24,0.681957623,480,70,49.41176471,352.9411765,,,,
25,0.70198118,480,69,50.47058824,352.6470588,,,,
26,0.721589023,480,68,51.52941176,352.3529412,,,,
27,0.740798063,480,67,52.58823529,352.0588235,,,,
28,0.759624198,480,66,53.64705882,351.7647059,,,,
29,0.778082396,480,65,54.70588235,351.4705882,,,,
30,0.796186762,480,64,55.76470588,351.1764706,,,,
31,0.813950607,480,63,56.82352941,350.8823529,,,,
32,0.831386505,480,62,57.88235294,350.5882353,,,,
33,0.848506344,480,61,58.94117647,350.2941176,,,,
34,0.865321378,480,60,60,350,,,,
35,0.881842272,480,59,61.05882353,348.5294118,,,,
36,0.89807914,480,58,62.11764706,347.0588235,,,,
37,0.914041581,480,57,63.17647059,345.5882353,,,,
