Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,100,100,12,0,100,100,12,0
1,0.080791133,101,100,12.75519194,0,163.56,100,60,0
2,0.156936427,102,100,13.51038389,0,165,165,60,90
3,0.22894114,103,100,14.26557583,0,165,205.78,0,90
4,0.297232355,104,100,15.02076778,0,,,,
5,0.36217432,105,100,15.77595972,0,,,,
6,0.424080195,106,100,16.53115167,0,,,,
7,0.483221181,107,100,17.28634361,0,,,,
8,0.539833693,108,100,18.04153556,0,,,,
9,0.594125069,109,100,18.7967275,0,,,,
10,0.646278148,110,100,19.55191945,0,,,,
11,0.696454983,111,100,20.30711139,0,,,,
12,0.744799877,112,100,21.06230334,0,,,,
13,0.791441888,113,100,21.81749528,0,,,,
14,0.836496895,114,100,22.57268722,0,,,,
15,0.880069342,115,100,23.32787917,0,,,,
16,0.922253689,116,100,24.08307111,0,,,,
17,0.963135649,117,100,24.83826306,0,,,,
18,1.002793231,118,100,25.593455,0,,,,
19,1.041297641,119,100,26.34864695,0,,,,
20,1.078714049,120,100,27.10383889,0,,,,
21,1.115102251,121,100,27.85903084,0,,,,
22,1.150517246,122,100,28.61422278,0,,,,
23,1.185009735,123,100,29.36941473,0,,,,
24,1.218626558,124,100,30.12460667,0,,,,
25,1.251411076,125,100,30.87979862,0,,,,
26,1.283403506,126,100,31.63499056,0,,,,
27,1.314641219,127,100,32.3901825,0,,,,
28,1.345159004,128,100,33.14537445,0,,,,
28.77213311,1.36819196,128.7720918,100.0079847,33.90056639,0,,,,
29.54426621,1.39071747,129.5438534,100.0319353,34.65575834,0,,,,
30.31639932,1.412757412,130.3149546,100.0718416,35.41095028,0,,,,
31.08853243,1.434332279,131.0850655,100.1276866,36.16614223,0,,,,
31.86066553,1.455461292,131.8538568,100.1994463,36.92133417,0,,,,
32.63279864,1.476162505,132.6209996,100.2870901,37.67652612,0,,,,
33.40493175,1.496452898,133.3861658,100.3905804,38.43171806,0,,,,
34.17706485,1.51634846,134.1490281,100.509873,39.18691001,0,,,,
34.94919796,1.535864263,134.9092601,100.6449169,39.94210195,0,,,,
35.72133107,1.555014533,135.6665366,100.7956542,40.6972939,0,,,,
36.49346418,1.573812712,136.4205338,100.9620206,41.45248584,0,,,,
37.26559728,1.592271511,137.1709291,101.1439449,42.20767778,0,,,,
38.03773039,1.61040297,137.9174015,101.3413492,42.96286973,0,,,,
38.8098635,1.628218494,138.6596318,101.554149,43.71806167,0,,,,
39.5819966,1.645728905,139.3973024,101.7822535,44.47325362,0,,,,
40.35412971,1.662944479,140.1300977,102.025565,45.22844556,0,,,,
41.12626282,1.679874979,140.8577045,102.2839794,45.98363751,0,,,,
41.89839592,1.696529694,141.5798113,102.5573861,46.73882945,0,,,,
42.67052903,1.712917463,142.2961093,102.8456684,47.4940214,0,,,,
43.44266214,1.729046709,143.0062922,103.1487027,48.24921334,0,,,,
44.21479524,1.744925462,143.7100561,103.4663595,49.00440529,0,,,,
44.98692835,1.760561384,144.4071001,103.798503,49.75959723,0,,,,
45.75906146,1.77596179,145.0971259,104.144991,50.51478918,0,,,,
46.53119456,1.791133669,145.7798383,104.5056754,51.26998112,0,,,,
47.30332767,1.806083704,146.4549455,104.8804018,52.02517306,0,,,,
48.07546078,1.82081829,147.1221585,105.26901,52.78036501,0,,,,
48.84759389,1.835343548,147.781192,105.6713337,53.53555695,0,,,,
49.61972699,1.849665343,148.4317641,106.0872009,54.2907489,0,,,,
50.3918601,1.863789295,149.0735965,106.5164336,55.04594084,0,,,,
51.16399321,1.877720797,149.7064146,106.9588483,55.80113279,0,,,,
51.93612631,1.891465023,150.3299478,107.4142557,56.55632473,0,,,,
52.70825942,1.90502694,150.9439293,107.8824609,57.31151668,0,,,,
53.48039253,1.918411321,151.5480966,108.3632639,58.06670862,0,,,,
54.25252563,1.931622756,152.1421911,108.8564588,58.82190057,0,,,,
55.02465874,1.944665656,152.7259588,109.3618347,59.57709251,0,,,,
55.79679185,1.957580054,153.29915,109.8791754,60,0,,,,
56.56892495,1.970448939,153.8615194,110.4082597,60,1.38427573,,,,
57.34105806,1.983317824,154.4128266,110.9488612,60,2.76855146,,,,
