Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
0,0,60,140,36,0
1,0.027496797,61,140,36.73574494,0
2,0.054448347,62,140,37.47148988,0
3,0.080875853,63,140,38.20723483,0
4,0.106799307,64,140,38.94297977,0
5,0.132237575,65,140,39.67872471,0
6,0.157208486,66,140,40.41446965,0
7,0.181728902,67,140,41.15021459,0
8,0.20581479,68,140,41.88595953,0
9,0.229481283,69,140,42.62170448,0
10,0.252742735,70,140,43.35744942,0
11,0.275612778,71,140,44.09319436,0
12,0.298104366,72,140,44.8289393,0
13,0.320229821,73,140,45.56468424,0
14,0.342000871,74,140,46.30042918,0
15,0.363428692,75,140,47.03617413,0
16,0.384523937,76,140,47.77191907,0
17,0.405296773,77,140,48.50766401,0
18,0.425756907,78,140,49.24340895,0
19,0.445913612,79,140,49.97915389,0
20,0.465775759,80,140,50.71489884,0
21,0.48535183,81,140,51.45064378,0
22,0.504649952,82,140,52.18638872,0
23,0.523677904,83,140,52.92213366,0
24,0.542443149,84,140,53.6578786,0
25,0.560952841,85,140,54.39362354,0
26,0.579213847,86,140,55.12936849,0
27,0.59723276,87,140,55.86511343,0
28,0.615015917,88,140,56.60085837,0
29,0.632569406,89,140,57.33660331,0
30,0.649899084,90,140,58.07234825,0
31,0.667010587,91,140,58.80809319,-0.612052759
31.94081815,0.68290924,91.94076447,139.9899501,59.54383814,-1.836158278
32.88163631,0.69861265,92.88109956,139.9598048,60.27958308,-3.060263797
33.82245446,0.714125554,93.82057604,139.909578,61.01532802,-4.284369315
34.76327262,0.729452519,94.75876513,139.8392926,61.75107296,-5.508474834
35.70409077,0.744597949,95.69523859,139.7489807,62.4868179,-6.732580352
36.64490892,0.759566095,96.629569,139.6386834,63.22256284,-7.956685871
37.58572708,0.774361058,97.5613299,139.5084512,63.95830779,-9.18079139
38.52654523,0.788986801,98.49009599,139.3583434,64.69405273,-10.40489691
39.46736339,0.80344715,99.41544337,139.1884286,65.42979767,-11.62900243
40.40818154,0.817745804,100.3369497,138.9987844,66.16554261,-12.85310795
41.34899969,0.831886341,101.2541943,138.7894973,66.90128755,-14.07721346
42.28981785,0.845872217,102.1667586,138.5606628,67.6370325,-15.30131898
43.230636,0.85970678,103.074226,138.3123853,68.37277744,-16.5254245
44.17145415,0.873393269,103.9761823,138.0447783,69.10852238,-17.74953002
45.11227231,0.88693482,104.8722159,137.7579637,69.84426732,-18.97363554
46.05309046,0.900334471,105.7619178,137.4520727,70.58001226,-20.19774106
