Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,149.0,162.0,0.0,0.0,0,149.0,162.0,0.0,0.0,3.0,0.0
1.0,0.16666666666666666,150.0,162.0,12.0,0.0,0,202.0,162.0,60.0,0.0,3.0,0.0
2.0,0.25,151.0,162.0,12.0,0.0,0,233.99,162.0,60.0,0.0,15.0,0.0
3.0,0.3333333333333333,152.0,162.0,12.0,0.0,0,232.0,126.0,60.0,0.0,15.0,0.0
4.0,0.41666666666666663,153.0,162.0,12.0,0.0,0,293.72,126.0,60.0,0.0,10.0,0.0
5.0,0.49999999999999994,154.0,162.0,12.0,0.0,0,315.0,161.69,60.0,80.0,5.0,0
6.0,0.5833333333333333,155.0,162.0,12.0,0.0,0,315.0,195.0,60.0,80.0,10.0,0
7.0,0.6666666666666666,156.0,162.0,12.0,0.0,0,310.0,231.79,60.0,80.0,15.0,0
8.0,0.75,157.0,162.0,12.0,0.0,0,360.17,231.0,60.0,80.0,3.0,0.0
9.0,0.8333333333333334,158.0,162.0,12.0,0.0,0,426.61,231.0,60.0,80.0,3.0,0.0
10.0,0.9166666666666667,159.0,162.0,12.0,0.0,0,468.66,231.0,0.0,80.0,3.0,0.0
11.0,0.9984567901234569,160.0,162.0,12.452830188679247,0.0,0,,,,,,
12.0,1.0752683843263555,161.0,162.0,13.58490566037736,0.0,0,,,,,,
13.0,1.1459350509930222,162.0,162.0,14.716981132075475,0.0,0,,,,,,
14.0,1.2113671497584542,163.0,162.0,15.849056603773588,0.0,0,,,,,,
15.0,1.2722866899883392,164.0,162.0,16.981132075471702,0.0,0,,,,,,
16.0,1.329275937300167,165.0,162.0,18.113207547169814,0.0,0,,,,,,
17.0,1.3828112908355206,166.0,162.0,19.245283018867926,0.0,0,,,,,,
18.0,1.4332874813117111,167.0,162.0,20.37735849056604,0.0,0,,,,,,
19.0,1.4810352290594588,168.0,162.0,21.50943396226415,0.0,0,,,,,,
20.0,1.5263343743586042,169.0,162.0,22.641509433962263,0.0,0,,,,,,
21.0,1.5694238052529133,170.0,162.0,23.773584905660375,0.0,0,,,,,,
22.0,1.6105090765707426,171.0,162.0,24.905660377358487,0.0,0,,,,,,
23.0,1.649768335830002,172.0,162.0,26.0377358490566,0.0,0,,,,,,
24.0,1.6873569883122714,173.0,162.0,27.16981132075471,0.0,0,,,,,,
25.0,1.723411410080979,174.0,162.0,28.301886792452823,0.0,0,,,,,,
26.0,1.758051932956796,175.0,162.0,29.433962264150935,0.0,0,,,,,,
27.0,1.7913852662901295,176.0,162.0,30.566037735849047,0.0,0,,,,,,
28.0,1.8235064784113417,177.0,162.0,31.69811320754716,0.0,0,,,,,,
29.0,1.8545006304581253,178.0,162.0,32.830188679245275,0.0,0,,,,,,
30.0,1.884444133282984,179.0,162.0,33.96226415094339,0.0,0,,,,,,
31.0,1.9134058819168638,180.0,162.0,35.094339622641506,0.0,0,,,,,,
32.0,1.9414482099591919,181.0,162.0,36.22641509433962,0.0,0,,,,,,
33.0,1.9686276971386791,182.0,162.0,37.35849056603774,0.0,0,,,,,,
34.0,1.9949958563426593,183.0,162.0,38.49056603773585,0.0,0,,,,,,
35.0,2.020599721076959,184.0,162.0,39.62264150943397,0.0,0,,,,,,
36.0,2.04548235018494,185.0,162.0,40.754716981132084,0.0,0,,,,,,
37.0,2.069683263426949,186.0,162.0,41.8867924528302,0.0,0,,,,,,
38.0,2.0932388189825044,187.0,162.0,43.018867924528315,0.0,0,,,,,,
39.0,2.1161825419262272,188.0,162.0,44.15094339622643,0.0,0,,,,,,
40.0,2.1385454111245394,189.0,162.0,45.28301886792455,0.0,0,,,,,,
41.0,2.1603561107130167,190.0,162.0,46.41509433962266,0.0,0,,,,,,
42.0,2.181641251275266,191.0,162.0,47.54716981132078,0.0,0,,,,,,
43.0,2.2024255650007563,192.0,162.0,48.67924528301889,0.0,0,,,,,,
44.0,2.222732078410718,193.0,162.0,49.81132075471701,0.0,0,,,,,,
45.0,2.242582265676636,194.0,162.0,50.943396226415125,0.0,0,,,,,,
46.0,2.2619961850905552,195.0,162.0,52.07547169811324,0.0,0,,,,,,
47.0,2.2809926008611647,196.0,162.0,53.207547169811356,0.0,0,,,,,,
48.0,2.299589092089235,197.0,162.0,54.33962264150947,0.0,0,,,,,,
49.0,2.317802150508479,198.0,162.0,55.47169811320759,0.0,0,,,,,,
50.0,2.335647268353597,199.0,162.0,56.6037735849057,0.0,0,,,,,,
51.0,2.3531390175285143,200.0,162.0,57.73584905660382,0.0,0,,,,,,
52.0,2.370291121088385,201.0,162.0,58.867924528301934,0.0,0,,,,,,
53.0,2.387116517913782,202.0,162.0,60.0,0.0,0,,,,,,
54.0,2.4037831845804485,203.0,162.0,60.0,0.0,0,,,,,,
55.0,2.420449851247115,204.0,162.0,60.0,0.0,0,,,,,,
56.0,2.4371165179137817,205.0,162.0,60.0,0.0,0,,,,,,
57.0,2.4537831845804483,206.0,162.0,60.0,0.0,0,,,,,,
58.0,2.470449851247115,207.0,162.0,60.0,0.0,0,,,,,,
59.0,2.4871165179137815,208.0,162.0,60.0,0.0,0,,,,,,
60.0,2.503783184580448,209.0,162.0,60.0,0.0,0,,,,,,
61.0,2.5204498512471147,210.0,162.0,60.0,0.0,0,,,,,,
62.0,2.5371165179137813,211.0,162.0,60.0,0.0,0,,,,,,
63.0,2.553783184580448,212.0,162.0,60.0,0.0,0,,,,,,
64.0,2.5704498512471146,213.0,162.0,60.0,0.0,0,,,,,,
65.0,2.587116517913781,214.0,162.0,60.0,0.0,0,,,,,,
66.0,2.6037831845804478,215.0,162.0,60.0,0.0,0,,,,,,
67.0,2.6204498512471144,216.0,162.0,60.0,0.0,0,,,,,,
68.0,2.637116517913781,217.0,162.0,60.0,0.0,0,,,,,,
69.0,2.6537831845804476,218.0,162.0,60.0,0.0,0,,,,,,
69.99888554397343,2.670431276980005,218.99857984586495,161.97528924542996,60.0,0.0,0,,,,,,
70.99870036907605,2.6870948573983817,219.99428126705251,161.8846892214783,60.0,0.0,0,,,,,,
71.99851519417864,2.703758437816758,220.98173530928548,161.72795952112546,60.0,0.0,0,,,,,,
72.99833001928127,2.7204220182351353,221.95655491312974,161.50579646286434,60.0,0.0,0,,,,,,
73.99814484438387,2.737085598653512,222.91440915141618,161.21918707241866,60.0,0.0,0,,,,,,
74.99795966948648,2.753749179071889,223.85104247067815,160.86940469758645,60.0,0.0,0,,,,,,
75.99777449458907,2.770412759490265,224.76229359771818,160.45800335101208,60.0,0.0,0,,,,,,
76.99758931969167,2.787076339908642,225.6441140273069,159.98681080602125,60.0,0.0,0,,,,,,
77.99740414479427,2.803739920327019,226.49258600887623,159.45792047619213,60.0,0.0,0,,,,,,
78.99721896989689,2.8204035007453956,227.30393995229625,158.87368211474043,60.0,0.0,0,,,,,,
79.9970337949995,2.8370670811637724,228.0745711754048,158.23669137503916,60.0,0.0,0,,,,,,
80.99684862010211,2.853730661582149,228.80105591888451,157.54977827865346,60.0,0.0,0,,,,,,
81.99666344520472,2.870394242000526,229.48016655733574,156.81599464212474,60.0,0.0,0,,,,,,
82.99647827030734,2.8870578224189027,230.10888593896624,156.03860051836438,60.0,0.0,0,,,,,,
83.99629309540994,2.9037214028372795,230.68442079018897,155.2210497128954,60.0,0.0,0,,,,,,
84.99610792051254,2.9203849832556563,231.20421412557388,154.36697443928986,60.0,0.0,0,,,,,,
85.99592274561516,2.937048563674033,231.66595660801948,153.48016918197575,60.0,0.0,0,,,,,,
86.99573757071776,2.95371214409241,232.06759680867222,152.56457383810675,60.0,0.0,0,,,,,,
87.99555239582037,2.9703757245107867,232.4073503210118,151.6242562133927,60.0,0.0,0,,,,,,
88.99536722092299,2.9870393049291635,232.68370768861004,150.66339394965811,60.0,0.0,0,,,,,,
89.99518204602559,3.0037028853475403,232.8954411113417,149.68625596442098,60.0,0.0,0,,,,,,
90.9949968711282,3.020366465765917,233.04160990025315,148.6971834849519,60.0,0.0,0,,,,,,
91.9948116962308,3.037030046184294,233.121564656854,147.70057076107574,60.0,0.0,0,,,,,,
92.9948116962308,3.0536967128509604,233.06637114031489,146.7020950849914,60.0,0.0,0,,,,,,
93.9948116962308,3.070363379517627,233.01117762377578,145.7036194089071,60.0,0.0,0,,,,,,
94.9948116962308,3.0870300461842937,232.95598410723667,144.70514373282276,60.0,0.0,0,,,,,,
95.9948116962308,3.1036967128509603,232.90079059069757,143.70666805673844,60.0,0.0,0,,,,,,
96.9948116962308,3.120363379517627,232.84559707415846,142.7081923806541,60.0,0.0,0,,,,,,
97.99724242185125,3.137070558277968,232.8686914831657,141.70602771956266,60.0,0.0,0,,,,,,
98.99705724695387,3.1537341386963447,232.8549418849538,140.70630744216302,60.0,0.0,0,,,,,,
99.99687207205649,3.1703977191147215,232.90782149065015,139.70789198164752,60.0,0.0,0,,,,,,
100.9966868971591,3.1870612995330982,233.02709536681672,138.71521709682412,60.0,0.0,0,,,,,,
101.9965017222617,3.203724879951475,233.21223360364374,137.73269304227912,60.0,0.0,0,,,,,,
102.99631654736432,3.220388460369852,233.46241366923223,136.76468497450432,60.0,0.0,0,,,,,,
103.99613137246692,3.2370520407882286,233.7765240639376,135.81549355838584,60.0,0.0,0,,,,,,
104.99594619756952,3.2537156212066054,234.1531692585387,134.88933586021622,60.0,0.0,0,,,,,,
105.99576102267213,3.270379201624982,234.59067589429316,133.9903266121182,60.0,0.0,0,,,,,,
106.99557584777475,3.287042782043359,235.08710021733307,133.12245993111856,60.0,0.0,0,,,,,,
107.99539067287736,3.3037063624617358,235.6402367143722,132.2895915740907,60.0,0.0,0,,,,,,
108.99520549797995,3.320369942880112,236.24762791135709,131.49542180740337,60.0,0.0,0,,,,,,
109.99502032308257,3.337033523298489,236.90657529152952,130.74347896738237,60.0,0.0,0,,,,,,
110.9948351481852,3.353697103716866,237.61415128439285,130.0371037846229,60.0,0.0,0,,,,,,
111.99464997328779,3.3703606841352425,238.36721227231817,129.37943454179648,60.0,0.0,0,,,,,,
112.99446479839041,3.3870242645536193,239.16241255700433,128.77339313089288,60.0,0.0,0,,,,,,
113.99427962349301,3.403687844971996,239.99621922374155,128.22167207184265,60.0,0.0,0,,,,,,
114.99409444859562,3.420351425390373,240.8649278374401,127.7267225501933,60.0,0.0,0,,,,,,
115.99390927369821,3.437015005808749,241.76467890068912,127.29074352698558,60.0,0.0,0,,,,,,
116.99372409880081,3.453678586227126,242.69147500072654,126.91567196921243,60.0,0.0,0,,,,,,
117.99353892390344,3.470342166645503,243.6411985691387,126.60317424426478,60.0,0.0,0,,,,,,
118.99335374900603,3.4870057470638796,244.60963017538757,126.35463871659685,60.0,0.0,0,,,,,,
119.99316857410864,3.5036693274822563,245.5924672728909,126.17116957950243,60.0,0.0,0,,,,,,
120.99298339921125,3.520332907900633,246.5853433143701,126.05358194940656,60.0,0.0,0,,,,,,
121.99298339921125,3.5369995745672997,247.5853433143701,126.05358194940656,60.0,0.0,0,,,,,,
122.99298339921125,3.5536662412339663,248.5853433143701,126.05358194940656,60.0,0.0,0,,,,,,
123.99298339921125,3.570332907900633,249.5853433143701,126.05358194940656,60.0,0.0,0,,,,,,
