Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,360.0,297.0,24.0,180.0,0,360.0,297.0,24.0,180.0,6.0,0.0
1.0,0.04089488303720218,361.0,297.0,24.90587407183914,180.0,0,423.55,297.0,180.0,180.0,24.0,0
2.0,0.08032890838447261,362.0,297.0,25.81174814367828,180.0,0,508.0,150.0,180.0,0.0,24.0,0
3.0,0.11840284657036756,363.0,297.0,26.71762221551742,180.0,0,510.0,125.0,0.0,0.0,6.0,0.0
4.0,0.1552073889703225,364.0,297.0,27.62349628735656,180.0,0,,,,,,
5.0,0.19082444860485137,365.0,297.0,28.5293703591957,180.0,0,,,,,,
6.0,0.22532825764831427,366.0,297.0,29.43524443103484,180.0,0,,,,,,
7.0,0.2587862986169708,367.0,297.0,30.34111850287398,180.0,0,,,,,,
8.0,0.2912600985924312,368.0,297.0,31.24699257471312,180.0,0,,,,,,
9.0,0.3228059099643461,369.0,297.0,32.15286664655226,180.0,0,,,,,,
10.0,0.3534752966090795,370.0,297.0,33.058740718391405,180.0,0,,,,,,
11.0,0.3833156408416615,371.0,297.0,33.96461479023055,180.0,0,,,,,,
12.0,0.4123705836525621,372.0,297.0,34.87048886206969,180.0,0,,,,,,
13.0,0.44068040849480433,373.0,297.0,35.776362933908835,180.0,0,,,,,,
14.0,0.4682823770901897,374.0,297.0,36.68223700574798,180.0,0,,,,,,
15.0,0.49521102427729996,375.0,297.0,37.58811107758712,180.0,0,,,,,,
16.0,0.5214984177533211,376.0,297.0,38.493985149426265,180.0,0,,,,,,
17.0,0.547174387608938,377.0,297.0,39.39985922126541,180.0,0,,,,,,
18.0,0.5722667297760127,378.0,297.0,40.30573329310455,180.0,0,,,,,,
19.0,0.5968013868668232,379.0,297.0,41.211607364943696,180.0,0,,,,,,
20.0,0.6208026093541925,380.0,297.0,42.11748143678284,180.0,0,,,,,,
21.0,0.6442930996025145,381.0,297.0,43.02335550862198,180.0,0,,,,,,
22.0,0.6672941408935927,382.0,297.0,43.929229580461126,180.0,0,,,,,,
23.0,0.6898257132848991,383.0,297.0,44.83510365230027,180.0,0,,,,,,
24.0,0.711906597880556,384.0,297.0,45.74097772413941,180.0,0,,,,,,
25.0,0.7335544708784218,385.0,297.0,46.646851795978556,180.0,0,,,,,,
26.0,0.754785988573099,386.0,297.0,47.5527258678177,180.0,0,,,,,,
27.0,0.7756168643388442,387.0,297.0,48.45859993965684,180.0,0,,,,,,
28.0,0.7960619384836077,388.0,297.0,49.364474011495986,180.0,0,,,,,,
29.0,0.8161352417519814,389.0,297.0,50.27034808333513,180.0,0,,,,,,
30.0,0.8358500531576093,390.0,297.0,51.17622215517427,180.0,0,,,,,,
31.0,0.8552189527420229,391.0,297.0,52.082096227013416,180.0,0,,,,,,
