Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,387.0,295.0,24.0,205.0,0,387.0,295.0,24.0,205.0,6.0,0.0
1.0,0.040743292822792584,388.0,295.0,25.087834130116292,204.3243056091615,0,423.55,295.0,180.0,180.0,24.0,0
2.0,0.07975740435912276,389.0,295.0,26.175668260232584,203.64861121832303,0,508.0,150.0,180.0,0.0,24.0,0
3.0,0.11718313487947915,390.0,295.0,27.263502390348876,202.97291682748454,0,510.0,125.0,0.0,0.0,6.0,0.0
4.0,0.15314476021489137,391.0,295.0,28.351336520465168,202.29722243664605,0,,,,,,
5.0,0.18775252017243005,392.0,295.0,29.43917065058146,201.62152804580757,0,,,,,,
6.0,0.22110465553233782,393.0,295.0,30.52700478069775,200.94583365496908,0,,,,,,
7.0,0.25328908845532155,394.0,295.0,31.614838910814044,200.2701392641306,0,,,,,,
8.0,0.28438481867418547,395.0,295.0,32.702673040930335,199.5944448732921,0,,,,,,
9.0,0.3144630912673161,396.0,295.0,33.79050717104663,198.91875048245362,0,,,,,,
10.0,0.3435883794365127,397.0,295.0,34.87834130116292,198.24305609161513,0,,,,,,
11.0,0.3718192163769831,398.0,295.0,35.96617543127921,197.56736170077664,0,,,,,,
12.0,0.39920890321769215,399.0,295.0,37.0540095613955,196.89166730993816,0,,,,,,
13.0,0.42580611454626593,400.0,295.0,38.141843691511795,196.21597291909967,0,,,,,,
14.0,0.45165541879783533,401.0,295.0,39.22967782162809,195.54027852826118,0,,,,,,
15.0,0.47679772747898347,402.0,295.0,40.31751195174438,194.8645841374227,0,,,,,,
16.0,0.5012706845943303,403.0,295.0,41.40534608186067,194.1888897465842,0,,,,,,
17.0,0.5251090055797956,404.0,295.0,42.49318021197696,193.51319535574572,0,,,,,,
18.0,0.5483447734003546,405.0,295.0,43.581014342093255,192.83750096490724,0,,,,,,
19.0,0.57100769814856,406.0,295.0,44.66884847220955,192.16180657406875,0,,,,,,
20.0,0.593125345412931,407.0,295.0,45.75668260232584,191.48611218323026,0,,,,,,
21.0,0.6147233378187279,408.0,295.0,46.84451673244213,190.81041779239177,0,,,,,,
22.0,0.63582553343619,409.0,295.0,47.93235086255842,190.1347234015533,0,,,,,,
22.99998789557445,0.6564539372745581,409.99998710296353,294.99874095193843,49.02017182506748,189.45903718960724,0,,,,,,
23.999915559181314,0.6766283917992324,410.99943196725667,294.96767174396086,50.10792726518647,188.78339167606384,0,,,,,,
24.999843222788158,0.6963695967552672,411.99671520760825,294.89499801445635,51.19568270530544,188.10774616252047,0,,,,,,
25.999770886394987,0.7156957691345096,412.9901056799804,294.78084591484156,52.28343814542439,187.4321006489771,0,,,,,,
26.999698550001856,0.7346240006227991,413.9778789976353,294.6254135971746,53.37119358554339,186.7564551354337,0,,,,,,
27.999626213608746,0.7531703484137363,414.958320524429,294.42897087019094,54.458949025662406,186.0808096218903,0,,,,,,
28.999553877215575,0.7713499170426269,415.9297283511796,294.19185873095336,55.54670446578136,185.40516410834692,0,,,,,,
29.999481540822426,0.7891769322854686,416.8904162499436,293.9144887729285,56.634459905900336,184.72951859480355,0,,,,,,
30.999409204429313,0.8066648080286924,417.8387166010709,293.5973424715184,57.722215346019354,184.05387308126015,0,,,,,,
31.99933686803617,0.8238262068970335,418.7729832879594,293.2409703482866,58.80997078613834,183.37822756771678,0,,,,,,
32.99926453164301,0.8406730953258844,419.6915945544826,292.84599101533,59.8977262262573,182.7025820541734,0,,,,,,
