Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,509.2,26.0,12.0,180.0,0,509.2,26.0,12.0,180.0,6.0,0.0
1.0,0.08054516696475718,508.2,26.0,12.83078843048531,180.0,0,400.0,26.0,180.0,180.0,6.0,0
2.0,0.1560386149070978,507.2,26.0,13.66157686097062,180.0,0,388.94,26.0,36.0,180.0,3.0,0
3.0,0.22707662404883439,506.2,26.0,14.492365291455929,180.0,0,352.56,26.0,36.0,180.0,3.0,0
4.0,0.29415578504218587,505.2,26.0,15.323153721941239,180.0,0,,,,,,
5.0,0.3576940481647577,504.2,26.0,16.15394215242655,180.0,0,,,,,,
6.0,0.4180464954692401,503.2,26.0,16.984730582911858,180.0,0,,,,,,
7.0,0.4755173476384189,502.2,26.0,17.815519013397168,180.0,0,,,,,,
8.0,0.5303692350594534,501.2,26.0,18.646307443882478,180.0,0,,,,,,
9.0,0.5828304485378044,500.2,26.0,19.477095874367787,180.0,0,,,,,,
10.0,0.6331006759198597,499.2,26.0,20.307884304853097,180.0,0,,,,,,
11.0,0.6813555888203586,498.2,26.0,21.138672735338407,180.0,0,,,,,,
12.0,0.7277505453866897,497.2,26.0,21.969461165823716,180.0,0,,,,,,
13.0,0.7724236059437761,496.2,26.0,22.800249596309026,180.0,0,,,,,,
14.0,0.8154980090539073,495.2,26.0,23.631038026794336,180.0,0,,,,,,
15.0,0.8570842198453711,494.2,26.0,24.461826457279646,180.0,0,,,,,,
16.0,0.8972816363157943,493.2,26.0,25.292614887764955,180.0,0,,,,,,
17.0,0.9361800199281997,492.2,26.0,26.123403318250265,180.0,0,,,,,,
18.0,0.9738607022853397,491.2,26.0,26.954191748735575,180.0,0,,,,,,
19.0,1.0103976086644177,490.2,26.0,27.784980179220884,180.0,0,,,,,,
20.0,1.045858130784164,489.2,26.0,28.615768609706194,180.0,0,,,,,,
21.0,1.0803038746914875,488.2,26.0,29.446557040191504,180.0,0,,,,,,
22.0,1.1137913046134698,487.2,26.0,30.277345470676813,180.0,0,,,,,,
23.0,1.1463722996707066,486.2,26.0,31.108133901162123,180.0,0,,,,,,
24.0,1.1780946372310004,485.2,26.0,31.938922331647433,180.0,0,,,,,,
25.0,1.2090024142056965,484.2,26.0,32.769710762132746,180.0,0,,,,,,
26.0,1.2391364156102957,483.2,26.0,33.60049919261806,180.0,0,,,,,,
27.0,1.2685344381172956,482.2,26.0,34.43128762310337,180.0,0,,,,,,
28.0,1.297231575039514,481.2,26.0,35.262076053588686,180.0,0,,,,,,
29.0,1.325260468132689,480.2,26.0,36.092864484074,180.0,0,,,,,,
30.0,1.3526515307477547,479.2,26.0,36.92365291455931,180.0,0,,,,,,
31.0,1.3794331461575882,478.2,26.0,37.754441345044626,180.0,0,,,,,,
32.0,1.405631844300276,477.2,26.0,38.58522977552994,180.0,0,,,,,,
33.0,1.431272459697522,476.2,26.0,39.41601820601525,180.0,0,,,,,,
34.0,1.4563782729040429,475.2,26.0,40.246806636500565,180.0,0,,,,,,
35.0,1.4809711375068728,474.2,26.0,41.07759506698588,180.0,0,,,,,,
36.0,1.5050715944105237,473.2,26.0,41.90838349747119,180.0,0,,,,,,
37.0,1.5286989749054272,472.2,26.0,42.739171927956505,180.0,0,,,,,,
38.0,1.551871493815285,471.2,26.0,43.56996035844182,180.0,0,,,,,,
39.0,1.57460633384766,470.2,26.0,44.40074878892713,180.0,0,,,,,,
40.0,1.5969197221262308,469.2,26.0,45.231537219412445,180.0,0,,,,,,
41.0,1.6188269997584968,468.2,26.0,46.06232564989776,180.0,0,,,,,,
42.0,1.6403426851858713,467.2,26.0,46.89311408038307,180.0,0,,,,,,
43.0,1.6614805319712975,466.2,26.0,47.723902510868385,180.0,0,,,,,,
44.0,1.682253581600367,465.2,26.0,48.5546909413537,180.0,0,,,,,,
45.0,1.7026742118035247,464.2,26.0,49.38547937183901,180.0,0,,,,,,
46.0,1.72275418084767,463.2,26.0,50.216267802324325,180.0,0,,,,,,
47.0,1.7425046681939682,462.2,26.0,51.04705623280964,180.0,0,,,,,,
48.0,1.7619363118738476,461.2,26.0,51.87784466329495,180.0,0,,,,,,
49.0,1.781059242896015,460.2,26.0,52.708633093780264,180.0,0,,,,,,
50.0,1.7998831169630731,459.2,26.0,53.53942152426558,180.0,0,,,,,,
51.0,1.818417143746298,458.2,26.0,54.37020995475089,180.0,0,,,,,,
52.0,1.836670113940751,457.2,26.0,55.200998385236204,180.0,0,,,,,,
53.0,1.8546504242996684,456.2,26.0,56.03178681572152,180.0,0,,,,,,
54.0,1.8723661008265697,455.2,26.0,56.86257524620683,180.0,0,,,,,,
55.0,1.8898248202854193,454.2,26.0,57.693363676692144,180.0,0,,,,,,
56.0,1.9070339301731183,453.2,26.0,58.52415210717746,180.0,0,,,,,,
57.0,1.9240004672843753,452.2,26.0,59.35494053766277,180.0,0,,,,,,
58.0,1.9407311749863494,451.2,26.0,60.185728968148084,180.0,0,,,,,,
59.0,1.95723251930919,450.2,26.0,61.0165173986334,180.0,0,,,,,,
60.0,1.9735107039485578,449.2,26.0,61.84730582911871,180.0,0,,,,,,
61.0,1.989571684267232,448.2,26.0,62.67809425960402,180.0,0,,,,,,
62.0,2.0054211803748796,447.2,26.0,63.50888269008934,180.0,0,,,,,,
63.0,2.0210646893578743,446.2,26.0,64.33967112057465,180.0,0,,,,,,
64.0,2.0365074967245884,445.2,26.0,65.17045955105996,180.0,0,,,,,,
65.0,2.0517546871257872,444.2,26.0,66.00124798154528,180.0,0,,,,,,
66.0,2.0668111544045313,443.2,26.0,66.83203641203059,180.0,0,,,,,,
67.0,2.0816816110252847,442.2,26.0,67.6628248425159,180.0,0,,,,,,
68.0,2.096370596927686,441.2,26.0,68.49361327300122,180.0,0,,,,,,
69.0,2.1108824878465993,440.2,26.0,69.32440170348653,180.0,0,,,,,,
70.0,2.125221503136597,439.2,26.0,70.15519013397184,180.0,0,,,,,,
71.0,2.1393917131358733,438.2,26.0,70.98597856445716,180.0,0,,,,,,
72.0,2.1533970461017446,437.2,26.0,71.81676699494247,180.0,0,,,,,,
73.0,2.167241294747305,436.2,26.0,72.64755542542778,180.0,0,,,,,,
74.0,2.180928122406441,435.2,26.0,73.4783438559131,180.0,0,,,,,,
75.0,2.194461068852283,434.2,26.0,74.30913228639841,180.0,0,,,,,,
76.0,2.2078435557922043,433.2,26.0,75.13992071688372,180.0,0,,,,,,
