Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0,0,500,300,12,180,500,300,12,180,6,0
1,0.083333333,499,300,12,180,415,300,12,180,12,0
2,0.166666667,498,300,12,180,390,285,180,180,6,0
3,0.25,497,300,12,180,500,230,180,0,50,0
4,0.333333333,496,300,12,180,500,110,180,200,8,0
5,0.416666667,495,300,12,180,450,135,180,45,50,0
6,0.5,494,300,12,180,350,135,120,45,5,0
7,0.583333333,493,300,12,180,361.74,113.06,180,0,5,0
8,0.666666667,492,300,12,180,315,127.61,180,0,5,0
9,0.75,491,300,12,180,345.92,160,180,0,5,0
10,0.833333333,490,300,12,180,316.18,185.18,180,0,5,0
11,0.916666667,489,300,12,180,342.12,208.59,180,0,20,0
12,1,488,300,12,180,250,235.48,120,0,10,0
13,1.083333333,487,300,12,180,228.56,220,120,0,3,0
14,1.166666667,486,300,12,180,259.56,193.09,60,0,3,0
15,1.25,485,300,12,180,230.45,180.75,48,0,3,0
16,1.333333333,484,300,12,180,252.6,167.78,36,0,3,0
17,1.416666667,483,300,12,180,220.01,162.09,24,0,5,0
18,1.5,482,300,12,180,253.86,140.9,12,0,10,0
19,1.583333333,481,300,12,180,284.86,171.26,12,0,3,0
20,1.666666667,480,300,12,180,,,,,,
21,1.75,479,300,12,180,,,,,,
22,1.833333333,478,300,12,180,,,,,,
23,1.916666667,477,300,12,180,,,,,,
24,2,476,300,12,180,,,,,,
25,2.083333333,475,300,12,180,,,,,,
26,2.166666667,474,300,12,180,,,,,,
27,2.25,473,300,12,180,,,,,,
28,2.333333333,472,300,12,180,,,,,,
29,2.416666667,471,300,12,180,,,,,,
30,2.5,470,300,12,180,,,,,,
31,2.583333333,469,300,12,180,,,,,,
32,2.666666667,468,300,12,180,,,,,,
33,2.75,467,300,12,180,,,,,,
34,2.833333333,466,300,12,180,,,,,,
35,2.916666667,465,300,12,180,,,,,,
36,3,464,300,12,180,,,,,,
37,3.083333333,463,300,12,180,,,,,,
38,3.166666667,462,300,12,180,,,,,,
39,3.25,461,300,12,180,,,,,,
40,3.333333333,460,300,12,180,,,,,,
41,3.416666667,459,300,12,180,,,,,,
42,3.5,458,300,12,180,,,,,,
43,3.583333333,457,300,12,180,,,,,,
44,3.666666667,456,300,12,180,,,,,,
45,3.75,455,300,12,180,,,,,,
46,3.833333333,454,300,12,180,,,,,,
47,3.916666667,453,300,12,180,,,,,,
48,4,452,300,12,180,,,,,,
49,4.083333333,451,300,12,180,,,,,,
50,4.166666667,450,300,12,180,,,,,,
51,4.25,449,300,12,180,,,,,,
52,4.333333333,448,300,12,180,,,,,,
53,4.416666667,447,300,12,180,,,,,,
54,4.5,446,300,12,180,,,,,,
55,4.583333333,445,300,12,180,,,,,,
56,4.666666667,444,300,12,180,,,,,,
57,4.75,443,300,12,180,,,,,,
58,4.833333333,442,300,12,180,,,,,,
59,4.916666667,441,300,12,180,,,,,,
60,5,440,300,12,180,,,,,,
61,5.083333333,439,300,12,180,,,,,,
62,5.166666667,438,300,12,180,,,,,,
63,5.25,437,300,12,180,,,,,,
64,5.333333333,436,300,12,180,,,,,,
65,5.416666667,435,300,12,180,,,,,,
66,5.5,434,300,12,180,,,,,,
67,5.583333333,433,300,12,180,,,,,,
68,5.666666667,432,300,12,180,,,,,,
69,5.75,431,300,12,180,,,,,,
70,5.833333333,430,300,12,180,,,,,,
71,5.916666667,429,300,12,180,,,,,,
72,6,428,300,12,180,,,,,,
73,6.083333333,427,300,12,180,,,,,,
74,6.166666667,426,300,12,180,,,,,,
75,6.25,425,300,12,180,,,,,,
76,6.333333333,424,300,12,180,,,,,,
77,6.416666667,423,300,12,180,,,,,,
78,6.5,422,300,12,180,,,,,,
79,6.583333333,421,300,12,180,,,,,,
80,6.666666667,420,300,12,180,,,,,,
81,6.75,419,300,12,180,,,,,,
81.99989171,6.833324309,418.0001178,299.9956336,12,180,,,,,,
82.99960238,6.916633532,417.0027615,299.9270632,12,180,,,,,,
83.99931306,6.999942755,416.0145739,299.775714,12,180,,,,,,
84.99902373,7.083251978,415.0424133,299.5426363,12,180,,,,,,
85.9987344,7.162389246,414.093027,299.2294477,13.26523086,180,,,,,,
86.99844508,7.234322022,413.1730041,298.838322,14.53046172,180,,,,,,
87.99844508,7.3002709,412.3155112,298.3238262,15.79605876,180,,,,,,
88.99844508,7.361139406,411.4580183,297.8093305,17.06165579,180,,,,,,
89.99844508,7.417654289,410.6005253,297.2948347,18.32725282,180,,,,,,
90.99844508,7.470396762,409.7430324,296.780339,19.59284986,180,,,,,,
91.99844508,7.519838934,408.8855395,296.2658432,20.85844689,180,,,,,,
92.99844508,7.566369509,408.0280466,295.7513475,22.12404392,180,,,,,,
93.99844508,7.610312337,407.1705536,295.2368517,23.38964096,180,,,,,,
94.99844508,7.651940082,406.3130607,294.722356,24.65523799,180,,,,,,
95.99844508,7.691484473,405.4555678,294.2078602,25.92083502,180,,,,,,
96.99844508,7.729144103,404.5980749,293.6933644,27.18643206,180,,,,,,
97.99844508,7.76509046,403.7405819,293.1788687,28.45202909,180,,,,,,
98.99844508,7.799472647,402.883089,292.6643729,29.71762612,180,,,,,,
99.99844508,7.832421116,402.0255961,292.1498772,30.98322316,180,,,,,,
100.9984451,7.864050649,401.1681032,291.6353814,32.24882019,180,,,,,,
101.9984451,7.894462777,400.3106102,291.1208857,33.51441722,180,,,,,,
102.9984451,7.923747741,399.4531173,290.6063899,34.78001426,180,,,,,,
103.9958406,7.951913871,398.6069618,290.0783572,36.04231502,180,,,,,,
