Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,165.0,160.0,0.0,0.0,0,165.0,160.0,0.0,0.0,3.0,0
1.0,0.16666666666666666,166.0,160.0,12.0,0.0,0,251.81,160.0,60.0,0.0,3.0,0
2.0,0.25,167.0,160.0,12.0,0.0,0,345.0,160.0,60.0,90.0,13.0,0
3.0,0.3333333333333333,168.0,160.0,12.0,0.0,0,345.0,215.38,60.0,135.0,3.0,0
4.0,0.41666666666666663,169.0,160.0,12.0,0.0,0,345.0,280.0,0.0,180.0,3.0,0
5.0,0.49999999999999994,170.0,160.0,12.0,0.0,0,,,,,,
6.0,0.5833333333333333,171.0,160.0,12.0,0.0,0,,,,,,
7.0,0.6666666666666666,172.0,160.0,12.0,0.0,0,,,,,,
8.0,0.75,173.0,160.0,12.0,0.0,0,,,,,,
9.0,0.8333333333333334,174.0,160.0,12.0,0.0,0,,,,,,
10.0,0.9166666666666667,175.0,160.0,12.0,0.0,0,,,,,,
11.0,1.0,176.0,160.0,12.0,0.0,0,,,,,,
12.0,1.0833333333333333,177.0,160.0,12.0,0.0,0,,,,,,
13.0,1.1666666666666665,178.0,160.0,12.0,0.0,0,,,,,,
14.0,1.2499999999999998,179.0,160.0,12.0,0.0,0,,,,,,
15.0,1.333333333333333,180.0,160.0,12.0,0.0,0,,,,,,
16.0,1.4166666666666663,181.0,160.0,12.0,0.0,0,,,,,,
17.0,1.4999999999999996,182.0,160.0,12.0,0.0,0,,,,,,
18.0,1.5818298361706535,183.0,160.0,12.440963022693234,0.0,0,,,,,,
19.0,1.6600370433778608,184.0,160.0,13.13212763506508,0.0,0,,,,,,
20.0,1.734233624574442,185.0,160.0,13.823292247436926,0.0,0,,,,,,
21.0,1.8048108603467998,186.0,160.0,14.514456859808773,0.0,0,,,,,,
22.0,1.8721054339902108,187.0,160.0,15.205621472180619,0.0,0,,,,,,
23.0,1.9364091376939145,188.0,160.0,15.896786084552465,0.0,0,,,,,,
24.0,1.9979765135804395,189.0,160.0,16.587950696924313,0.0,0,,,,,,
25.0,2.057030935349147,190.0,160.0,17.27911530929616,0.0,0,,,,,,
26.0,2.1137694974406505,191.0,160.0,17.970279921668006,0.0,0,,,,,,
27.0,2.16836698171738,192.0,160.0,18.661444534039852,0.0,0,,,,,,
28.0,2.220979102929501,193.0,160.0,19.352609146411698,0.0,0,,,,,,
29.0,2.2717451848008463,194.0,160.0,20.043773758783544,0.0,0,,,,,,
30.0,2.3207903825409595,195.0,160.0,20.73493837115539,0.0,0,,,,,,
31.0,2.368227541010905,196.0,160.0,21.426102983527237,0.0,0,,,,,,
32.0,2.414158757942122,197.0,160.0,22.117267595899083,0.0,0,,,,,,
33.0,2.4586767066600705,198.0,160.0,22.80843220827093,0.0,0,,,,,,
34.0,2.501865761386439,199.0,160.0,23.499596820642775,0.0,0,,,,,,
35.0,2.5438029594540716,200.0,160.0,24.19076143301462,0.0,0,,,,,,
36.0,2.5845588279986726,201.0,160.0,24.881926045386468,0.0,0,,,,,,
37.0,2.624198097405065,202.0,160.0,25.573090657758314,0.0,0,,,,,,
38.0,2.6627803196272875,203.0,160.0,26.26425527013016,0.0,0,,,,,,
39.0,2.700360406207374,204.0,160.0,26.955419882502007,0.0,0,,,,,,
40.0,2.736989098190496,205.0,160.0,27.646584494873853,0.0,0,,,,,,
41.0,2.772713378025887,206.0,160.0,28.3377491072457,0.0,0,,,,,,
42.0,2.807576831841148,207.0,160.0,29.028913719617545,0.0,0,,,,,,
43.0,2.84161996909605,208.0,160.0,29.72007833198939,0.0,0,,,,,,
44.0,2.8748805054945175,209.0,160.0,30.411242944361238,0.0,0,,,,,,
45.0,2.9073936141087495,210.0,160.0,31.102407556733084,0.0,0,,,,,,
46.0,2.9391921489072845,211.0,160.0,31.79357216910493,0.0,0,,,,,,
47.0,2.9703068442477862,212.0,160.0,32.48473678147678,0.0,0,,,,,,
48.0,3.0007664933705933,213.0,160.0,33.175901393848626,0.0,0,,,,,,
49.0,3.030598108490868,214.0,160.0,33.867066006220476,0.0,0,,,,,,
50.0,3.0598270647198245,215.0,160.0,34.558230618592326,0.0,0,,,,,,
51.0,3.088477229736326,216.0,160.0,35.249395230964176,0.0,0,,,,,,
52.0,3.1165710808690124,217.0,160.0,35.940559843336025,0.0,0,,,,,,
53.0,3.1441298110277427,218.0,160.0,36.631724455707875,0.0,0,,,,,,
54.0,3.1711734247349077,219.0,160.0,37.322889068079725,0.0,0,,,,,,
55.0,3.1977208253465284,220.0,160.0,38.014053680451575,0.0,0,,,,,,
56.0,3.2237898944155976,221.0,160.0,38.705218292823425,0.0,0,,,,,,
57.0,3.2493975640321167,222.0,160.0,39.396382905195274,0.0,0,,,,,,
58.0,3.2745598828726963,223.0,160.0,40.087547517567124,0.0,0,,,,,,
59.0,3.29929207660489,224.0,160.0,40.778712129938974,0.0,0,,,,,,
60.0,3.323608603215534,225.0,160.0,41.469876742310824,0.0,0,,,,,,
61.0,3.347523203766498,226.0,160.0,42.16104135468267,0.0,0,,,,,,
62.0,3.3710489490239506,227.0,160.0,42.85220596705452,0.0,0,,,,,,
63.0,3.394198282357284,228.0,160.0,43.54337057942637,0.0,0,,,,,,
64.0,3.416983059260171,229.0,160.0,44.23453519179822,0.0,0,,,,,,
65.0,3.4394145838079746,230.0,160.0,44.92569980417007,0.0,0,,,,,,
66.0,3.4615036423321475,231.0,160.0,45.61686441654192,0.0,0,,,,,,
67.0,3.483260534562724,232.0,160.0,46.30802902891377,0.0,0,,,,,,
68.0,3.5046951024639585,233.0,160.0,46.99919364128562,0.0,0,,,,,,
69.0,3.5258167569651753,234.0,160.0,47.69035825365747,0.0,0,,,,,,
70.0,3.5466345027685326,235.0,160.0,48.38152286602932,0.0,0,,,,,,
71.0,3.5671569613973744,236.0,160.0,49.07268747840117,0.0,0,,,,,,
72.0,3.5873923926328057,237.0,160.0,49.76385209077302,0.0,0,,,,,,
73.0,3.607348714471886,238.0,160.0,50.45501670314487,0.0,0,,,,,,
74.0,3.627033521728122,239.0,160.0,51.14618131551672,0.0,0,,,,,,
75.0,3.646454103383603,240.0,160.0,51.83734592788857,0.0,0,,,,,,
76.0,3.665617458791991,241.0,160.0,52.52851054026042,0.0,0,,,,,,
77.0,3.6845303128224924,242.0,160.0,53.21967515263227,0.0,0,,,,,,
78.0,3.7031991300267935,243.0,160.0,53.91083976500412,0.0,0,,,,,,
79.0,3.721630127903651,244.0,160.0,54.60200437737597,0.0,0,,,,,,
80.0,3.7398292893292275,245.0,160.0,55.29316898974782,0.0,0,,,,,,
81.0,3.757802374215356,246.0,160.0,55.98433360211967,0.0,0,,,,,,
82.0,3.7755549304525746,247.0,160.0,56.67549821449152,0.0,0,,,,,,
83.0,3.7930923041899485,248.0,160.0,57.36666282686337,0.0,0,,,,,,
84.0,3.81041964949933,249.0,160.0,58.05782743923522,0.0,0,,,,,,
85.0,3.8275419374677715,250.0,160.0,58.74899205160707,0.0,0,,,,,,
86.0,3.8444639647582197,251.0,160.0,59.44015666397892,0.0,0,,,,,,
86.81,3.8580272423463224,251.81,160.0,60.0,0.8011316159163199,0,,,,,,
87.81,3.874693909012989,252.81,160.0,60.0,1.790182993590786,0,,,,,,
88.81,3.8913605756796557,253.81,160.0,60.0,2.779234371265252,0,,,,,,
89.81,3.9080272423463223,254.81,160.0,60.0,3.7682857489397183,0,,,,,,
90.81,3.924693909012989,255.81,160.0,60.0,4.757337126614185,0,,,,,,
91.81,3.9413605756796555,256.81,160.0,60.0,5.7463885042886504,0,,,,,,
92.81,3.958027242346322,257.81,160.0,60.0,6.735439881963116,0,,,,,,
93.81,3.9746939090129887,258.81,160.0,60.0,7.724491259637582,0,,,,,,
94.81,3.9913605756796553,259.81,160.0,60.0,8.713542637312049,0,,,,,,
95.81,4.008027242346322,260.81,160.0,60.0,9.702594014986515,0,,,,,,
96.81,4.0246939090129885,261.81,160.0,60.0,10.69164539266098,0,,,,,,
97.81,4.041360575679655,262.81,160.0,60.0,11.680696770335446,0,,,,,,
98.81,4.058027242346322,263.81,160.0,60.0,12.669748148009912,0,,,,,,
99.81,4.074693909012988,264.81,160.0,60.0,13.658799525684378,0,,,,,,
100.81,4.091360575679655,265.81,160.0,60.0,14.647850903358844,0,,,,,,
101.81,4.1080272423463216,266.81,160.0,60.0,15.63690228103331,0,,,,,,
102.81,4.124693909012988,267.81,160.0,60.0,16.625953658707775,0,,,,,,
103.81,4.141360575679655,268.81,160.0,60.0,17.615005036382243,0,,,,,,
104.81,4.158027242346321,269.81,160.0,60.0,18.60405641405671,0,,,,,,
105.81,4.174693909012988,270.81,160.0,60.0,19.59310779173118,0,,,,,,
106.81,4.191360575679655,271.81,160.0,60.0,20.582159169405646,0,,,,,,
107.81,4.208027242346321,272.81,160.0,60.0,21.571210547080113,0,,,,,,
108.81,4.224693909012988,273.81,160.0,60.0,22.56026192475458,0,,,,,,
109.81,4.241360575679654,274.81,160.0,60.0,23.54931330242905,0,,,,,,
110.81,4.258027242346321,275.81,160.0,60.0,24.538364680103516,0,,,,,,
111.81,4.274693909012988,276.81,160.0,60.0,25.527416057777984,0,,,,,,
112.81,4.291360575679654,277.81,160.0,60.0,26.51646743545245,0,,,,,,
113.81,4.308027242346321,278.81,160.0,60.0,27.50551881312692,0,,,,,,
114.81,4.3246939090129874,279.81,160.0,60.0,28.494570190801387,0,,,,,,
115.81,4.341360575679654,280.81,160.0,60.0,29.483621568475854,0,,,,,,
116.81,4.358027242346321,281.81,160.0,60.0,30.472672946150322,0,,,,,,
117.81,4.374693909012987,282.81,160.0,60.0,31.46172432382479,0,,,,,,
118.81,4.391360575679654,283.81,160.0,60.0,32.45077570149925,0,,,,,,
119.81,4.4080272423463205,284.81,160.0,60.0,33.43982707917372,0,,,,,,
120.81,4.424693909012987,285.81,160.0,60.0,34.42887845684818,0,,,,,,
121.81,4.441360575679654,286.81,160.0,60.0,35.417929834522646,0,,,,,,
122.81,4.45802724234632,287.81,160.0,60.0,36.40698121219711,0,,,,,,
123.81,4.474693909012987,288.81,160.0,60.0,37.396032589871574,0,,,,,,
124.81,4.4913605756796535,289.81,160.0,60.0,38.38508396754604,0,,,,,,
125.81,4.50802724234632,290.81,160.0,60.0,39.3741353452205,0,,,,,,
126.81,4.524693909012987,291.81,160.0,60.0,40.363186722894966,0,,,,,,
127.81,4.541360575679653,292.81,160.0,60.0,41.35223810056943,0,,,,,,
128.81,4.55802724234632,293.81,160.0,60.0,42.341289478243894,0,,,,,,
129.81,4.574693909012987,294.81,160.0,60.0,43.33034085591836,0,,,,,,
130.81,4.591360575679653,295.81,160.0,60.0,44.31939223359282,0,,,,,,
131.81,4.60802724234632,296.81,160.0,60.0,45.308443611267286,0,,,,,,
132.81,4.624693909012986,297.81,160.0,60.0,46.29749498894175,0,,,,,,
133.81,4.641360575679653,298.81,160.0,60.0,47.286546366616214,0,,,,,,
134.81,4.65802724234632,299.81,160.0,60.0,48.27559774429068,0,,,,,,
135.81,4.674693909012986,300.81,160.0,60.0,49.26464912196514,0,,,,,,
136.81,4.691360575679653,301.81,160.0,60.0,50.253700499639606,0,,,,,,
137.81,4.708027242346319,302.81,160.0,60.0,51.24275187731407,0,,,,,,
138.81,4.724693909012986,303.81,160.0,60.0,52.231803254988534,0,,,,,,
139.81,4.741360575679653,304.81,160.0,60.0,53.220854632663,0,,,,,,
140.81,4.758027242346319,305.81,160.0,60.0,54.20990601033746,0,,,,,,
141.81,4.774693909012986,306.81,160.0,60.0,55.19895738801193,0,,,,,,
