Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in)
0.0,1,500.0,300.0,0.0,90,500.0,300.0,12.0,180.0,6.0
1.0,1,499.0,300.0,1.0,90,415.0,300.0,12.0,180.0,12.0
2.0,1,498.0,300.0,2.0,90,390.0,285.0,12.0,180.0,6.0
3.0,1,497.0,300.0,3.0,90,500.0,230.0,12.0,0.0,50.0
4.0,1,496.0,300.0,4.0,90,500.0,110.0,12.0,0.0,8.0
5.0,1,495.0,300.0,5.0,90,450.0,135.0,12.0,0.0,50.0
6.0,1,494.0,300.0,6.0,90,350.0,135.0,12.0,0.0,5.0
7.0,1,493.0,300.0,7.0,90,361.74,113.06,12.0,0.0,5.0
8.0,1,492.0,300.0,8.0,90,315.0,127.61,12.0,0.0,5.0
9.0,1,491.0,300.0,9.0,90,345.92,160.0,12.0,0.0,5.0
10.0,1,490.0,300.0,10.0,90,316.18,185.18,12.0,0.0,5.0
11.0,1,489.0,300.0,11.0,90,342.12,208.59,12.0,0.0,20.0
12.0,1,488.0,300.0,12.0,90,250.0,235.48,12.0,0.0,10.0
13.0,1,487.0,300.0,13.0,90,228.56,220.0,12.0,0.0,3.0
14.0,1,486.0,300.0,14.0,90,259.56,193.09,12.0,0.0,3.0
15.0,1,485.0,300.0,15.0,90,230.45,180.75,12.0,0.0,3.0
16.0,1,484.0,300.0,16.0,90,252.6,167.78,12.0,0.0,3.0
17.0,1,483.0,300.0,17.0,90,220.01,162.09,12.0,0.0,5.0
18.0,1,482.0,300.0,18.0,90,253.86,140.9,12.0,0.0,10.0
19.0,1,481.0,300.0,19.0,90,284.86,171.26,12.0,0.0,3.0
20.0,1,480.0,300.0,20.0,90,,,,,
21.0,1,479.0,300.0,21.0,90,,,,,
22.0,1,478.0,300.0,22.0,90,,,,,
23.0,1,477.0,300.0,23.0,90,,,,,
24.0,1,476.0,300.0,24.0,90,,,,,
25.0,1,475.0,300.0,25.0,90,,,,,
26.0,1,474.0,300.0,26.0,90,,,,,
27.0,1,473.0,300.0,27.0,90,,,,,
28.0,1,472.0,300.0,28.0,90,,,,,
29.0,1,471.0,300.0,29.0,90,,,,,
30.0,1,470.0,300.0,30.0,90,,,,,
31.0,1,469.0,300.0,31.0,90,,,,,
32.0,1,468.0,300.0,32.0,90,,,,,
33.0,1,467.0,300.0,33.0,90,,,,,
34.0,1,466.0,300.0,34.0,90,,,,,
35.0,1,465.0,300.0,35.0,90,,,,,
36.0,1,464.0,300.0,36.0,90,,,,,
37.0,1,463.0,300.0,37.0,90,,,,,
38.0,1,462.0,300.0,38.0,90,,,,,
39.0,1,461.0,300.0,39.0,90,,,,,
40.0,1,460.0,300.0,40.0,90,,,,,
41.0,1,459.0,300.0,41.0,90,,,,,
42.0,1,458.0,300.0,42.0,90,,,,,
43.0,1,457.0,300.0,43.0,90,,,,,
44.0,1,456.0,300.0,44.0,90,,,,,
45.0,1,455.0,300.0,45.0,90,,,,,
46.0,1,454.0,300.0,46.0,90,,,,,
47.0,1,453.0,300.0,47.0,90,,,,,
48.0,1,452.0,300.0,48.0,90,,,,,
49.0,1,451.0,300.0,49.0,90,,,,,
50.0,1,450.0,300.0,50.0,90,,,,,
51.0,1,449.0,300.0,51.0,90,,,,,
52.0,1,448.0,300.0,52.0,90,,,,,
53.0,1,447.0,300.0,53.0,90,,,,,
54.0,1,446.0,300.0,54.0,90,,,,,
55.0,1,445.0,300.0,55.0,90,,,,,
56.0,1,444.0,300.0,56.0,90,,,,,
57.0,1,443.0,300.0,57.0,90,,,,,
58.0,1,442.0,300.0,58.0,90,,,,,
59.0,1,441.0,300.0,59.0,90,,,,,
60.0,1,440.0,300.0,60.0,90,,,,,
61.0,1,439.0,300.0,61.0,90,,,,,
62.0,1,438.0,300.0,62.0,90,,,,,
63.0,1,437.0,300.0,63.0,90,,,,,
64.0,1,436.0,300.0,64.0,90,,,,,
65.0,1,435.0,300.0,65.0,90,,,,,
66.0,1,434.0,300.0,66.0,90,,,,,
67.0,1,433.0,300.0,67.0,90,,,,,
68.0,1,432.0,300.0,68.0,90,,,,,
69.0,1,431.0,300.0,69.0,90,,,,,
70.0,1,430.0,300.0,70.0,90,,,,,
71.0,1,429.0,300.0,71.0,90,,,,,
72.0,1,428.0,300.0,72.0,90,,,,,
73.0,1,427.0,300.0,73.0,90,,,,,
74.0,1,426.0,300.0,74.0,90,,,,,
75.0,1,425.0,300.0,75.0,90,,,,,
76.0,1,424.0,300.0,76.0,90,,,,,
77.0,1,423.0,300.0,77.0,90,,,,,
78.0,1,422.0,300.0,78.0,90,,,,,
79.0,1,421.0,300.0,79.0,90,,,,,
80.0,1,420.0,300.0,80.0,90,,,,,
81.0,1,419.0,300.0,81.0,90,,,,,
81.9998917105242,1,418.00011782337344,299.99563357817567,81.9998917105242,90,,,,,
82.99960238378866,1,417.0027615489534,299.9270632339018,82.99960238378866,90,,,,,
83.99931305705309,1,416.0145738975413,299.7757139827127,83.99931305705309,90,,,,,
84.99902373031755,1,415.04241331299767,299.5426362529773,84.99902373031755,90,,,,,
85.99873440358202,1,414.09302700450183,299.22944770357043,85.99873440358202,90,,,,,
86.99844507684647,1,413.17300411804194,298.838321996631,86.99844507684647,90,,,,,
87.99844507684647,1,412.3155111923294,298.3238262412035,87.99844507684647,90,,,,,
88.99844507684647,1,411.4580182666168,297.809330485776,88.99844507684647,90,,,,,
89.99844507684647,1,410.60052534090426,297.2948347303485,89.99844507684647,90,,,,,
90.99844507684647,1,409.7430324151917,296.780338974921,90.99844507684647,90,,,,,
91.99844507684647,1,408.88553948947913,296.2658432194935,91.99844507684647,90,,,,,
92.99844507684647,1,408.02804656376657,295.751347464066,92.99844507684647,90,,,,,
93.99844507684647,1,407.170553638054,295.2368517086385,93.99844507684647,90,,,,,
94.99844507684647,1,406.31306071234144,294.722355953211,94.99844507684647,90,,,,,
95.99844507684647,1,405.4555677866289,294.2078601977835,95.99844507684647,90,,,,,
96.99844507684647,1,404.5980748609163,293.69336444235597,96.99844507684647,90,,,,,
97.99844507684647,1,403.74058193520375,293.17886868692847,97.99844507684647,90,,,,,
98.99844507684647,1,402.8830890094912,292.66437293150096,98.99844507684647,90,,,,,
99.99844507684647,1,402.0255960837786,292.14987717607346,99.99844507684647,90,,,,,
100.99844507684647,1,401.16810315806606,291.63538142064596,100.99844507684647,90,,,,,
